"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate5_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 6:17:40 PM"
"BatchStopTime","5/12/2022 7:19:45 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"1(1,A1)","B","24","33","30","26","43","29","36","45.5","24","26.5","15","36","34","42","29.5","34.5","25.5","28","33","33.5","43","36","30","32","22","25","22","30","35","40","1692"
"2(1,A2)","S","14256","1263","5073","4659.5","4193","2685.5","1889","736.5","1859","4153","2527","6621","1461","4910.5","9312.5","12359","1404","19267.5","18280","12882","4174","5358","1988","9309","6779","1051","1636","3227.5","2769","1238.5","1588"
"3(1,A3)","S","8680.5","607.5","2467.5","2134.5","1982","1394.5","1101","343","863","2554","1306","3626","707","2218","5290.5","7496.5","723","12633","11434.5","7320","2122.5","2503","983.5","5367","3151","439","789","1861","1453.5","543","1747"
"4(1,A4)","S","6501","422.5","1662","1392","1308","956.5","938.5","212","508","2051.5","768","2396","447.5","1498","3526","5579.5","468","10103","8654","5497","1556","1721.5","610.5","4096","2104","278","458","1239","978","360","1585"
"5(1,A5)","S","3563","225","904","762.5","681","543","572","118","232","1392","356.5","1378.5","241","789","1944","3029","231","6821","5554","2844","878.5","953","292.5","2146","1074","140","236","696","489.5","212","1432"
"6(1,A6)","S","2089.5","133","484","397","365.5","320","368","80.5","123.5","842","190.5","750","141","415","1157","1807","136","4203","2893","1660","525.5","512","169","1304","556","82","113","325.5","269","114","1893"
"7(1,A7)","S","1285.5","87","273","239","220","208.5","230","63","77","540","106","393.5","88","251","692","1129","85","2394","1781.5","976","324.5","304","102","822","320","55","69.5","213","165","81","1540"
"8(1,A8)","S","760.5","62","168","143.5","133","120","146","53","49","322","59","225.5","62","156","393","608","58","1408.5","1026","560","209.5","176","64.5","468","182.5","43","49","117","105","60","1795"
"9(1,A9)","S","404","51","100","87.5","93.5","79","89","50","39.5","180.5","37","129","52","101","210","336","42.5","767.5","523","299","125","115","47","264.5","101","36","35","77","71","51","1916"
"10(1,A10)","S","220","44","76","61","75.5","60","71","46","33.5","118","30","82","42","78","134","200","34","457","291","184","100","85","41","185","76","35","31","61","61","46","1518"
"11(1,A11)","S","161","53","65","67","74","62","72","59","43","103.5","37","83","51","86","105.5","144","44.5","341","223","141.5","84","81","48","203","66","45","38","60.5","61","53.5","1726"
"12(1,A12)","S","42","33","32","29.5","46.5","32.5","37","45.5","25","36","16","38","32","44","40","49","26","72","58.5","50","51","44","28.5","46.5","28","28","24","34","38","41","1861"
"13(1,B1)","Unknown2","20816.5","447.5","345.5","1178","1671","595","1211.5","420","5942","2741","7776","11741","808.5","374","17537","19573","354","18703","255.5","17661.5","5362","2157.5","6535","15571","2178","5176","6763","3935","10280","6724","1534"
"14(1,B2)","Unknown10","25550.5","331","2440.5","1028","2086.5","635","319","168.5","7489","406","9685","13316","479","1980","18043","22344","1067","11436.5","186","19067.5","1340","3546","7672","15566","9581","5913","8138","3188","12765.5","8709","1759"
"15(1,B3)","Unknown18","25544","455.5","4179","464","2525","511","1179","302.5","8436.5","1356","10326","13931","523","4163.5","21619","23855","1419","16252.5","594","23039","2419","6996.5","8062","20129.5","3290","7873","9214","6060","14779","9607.5","1980"
"16(1,B4)","Unknown26","27030","740","1901","291","335","371.5","511","593.5","9885.5","858","11508","14962","1541","3093","23431","26618.5","275","14533","747","24770","1449","2803","9379.5","22586","6812.5","9591.5","11779","6280","18099.5","11110","1604"
"17(1,B5)","Unknown34","13167","233.5","1336","335","227.5","377","585.5","142","2420","1581","2959","6074","349","1188","9721","12310","113","7198","278.5","9706","1101","1267.5","2975","8636","783.5","1129","1505","2037","3114","1381","1804"
"18(1,B6)","Unknown42","13711","537","922","741","550","548.5","1523.5","915","2475","591","3629","6462.5","2206","9911","10337","13179.5","776.5","6118","2228","11556","2291.5","490.5","3070","8879","5754.5","2112","2773.5","2310","4419","2168","1759"
"19(1,B7)","Unknown50","24555.5","407","1757.5","373","450","354","550","184","8088.5","216.5","9685.5","12869","538","1022.5","20998","22844","176","11899.5","711.5","22453.5","2136.5","5485","7825","19388","1304.5","7047","9187","5764","13931","8534","1583"
"20(1,B8)","Unknown58","13559","475","2159.5","750.5","2322","398","374.5","160","3605","1201","3974","7553","663","2335","9619","15643.5","1177","15696","268","15904.5","3667.5","1520.5","4137","11539.5","2455","3861.5","4910","2516.5","8210","6028","1642"
"21(1,B9)","Unknown66","20603","311","1339","632","430","432","613","188.5","4758.5","1582","5875","10750.5","582","3140","14052","19232","434","4822","187","16140","2289","294","5932","13949.5","2849.5","4927.5","5943","2001.5","9321","7066","1381"
"22(1,B10)","Unknown74","27914","607","2601","816","1017","764","2007","225","12163","2384.5","13328","15986","689","4308","23689.5","25304","227.5","4704.5","632.5","24814.5","3049","661.5","10550","22566.5","1422","11171","13583","5350","18861","12646.5","1356"
"23(1,B11)","Unknown82","954","312","5227","415","841","295","342","695","229","259","288.5","320.5","631","7708.5","1958.5","9128","123","23809.5","2047","11982","3393","9796","190","6668","1835","205","277","2337","9787.5","1913","1623"
"24(1,B12)","Unknown90","25222.5","403","4680","658.5","1596","1395.5","1329","676","9176.5","2413","10184","13700","630","697","21216","23023.5","270","12959.5","2150.5","22189","1946.5","2429.5","8551","20926","1147.5","8728.5","11143","3161.5","17491","11648","1263"
"25(1,C1)","Unknown3","23593.5","495","1369","451","512","275","449","148","7113","185","8158","12579","510.5","2755","20464.5","21785","342","13074","371.5","20833","1510","588","6924","18517","2339","5582.5","7247","5658","13504","7017","1523"
"26(1,C2)","Unknown11","6740","647.5","1775","598","856","784","1514","360","2646.5","4038.5","3687.5","2758","612","1080","11945","7028","191","14139.5","7947.5","6976","930","2263","920","7083","3097","861","1117","1961","2906","1027.5","1389"
"27(1,C3)","Unknown19","26724","665","893.5","2845","701","640","1055.5","182","9806","1982","11041","15103","925.5","2239","21854","23959.5","254","7028","2222","21712.5","644.5","2168","9308","21483","1241","9315.5","12034.5","2938.5","18725","12189.5","1629"
"28(1,C4)","Unknown27","27101.5","884.5","2235.5","462","561.5","619","674.5","166","11549.5","2089.5","13328","16500","650","2111","23931","27247","992","5685","2204.5","25668.5","2228","1300","11034","24284","1342","10991","13838","8780","19212","12699","1617"
"29(1,C5)","Unknown35","17896","269","1159","259","1017.5","198","576","145","5210","582","6684.5","9825","517","1707","14567.5","18461","637.5","7300","164","18125.5","1788","1108","5849","14578","1345","5133","6648","3105","12584","7356","1430"
"30(1,C6)","Unknown43","28824.5","1524","2310","742.5","1468.5","771","712","186.5","12397","1358","13459.5","16808","471","4190","25663","27633","701","4539","6179.5","28631","3060","1210.5","10705","24082","5732.5","10402.5","12150","9132","17537.5","12874.5","1572"
