"id"	"sire"	"dam"	"sex"	"gen"	"birth"	"exit"	"age"	"ancestry"	"origin"	"status"	"recordStatus"
"N54ICI"	NA	NA	"M"	0	NA	1965-07-02	NA	"JAPANESE"	""	"SHIPPED"	"original"
"VJ08BW"	NA	NA	"F"	0	NA	1971-11-21	NA	"JAPANESE"	"JAPAN MONKEY CENTER PRIMATE ZOO"	"DECEASED"	"original"
"2ZMHG7"	NA	NA	"M"	0	1990-06-01	1998-03-10	7.8	"JAPANESE"	""	"SHIPPED"	"original"
"SUCA1F"	NA	NA	"M"	0	1990-07-15	1991-10-25	1.3	"JAPANESE"	""	"DECEASED"	"original"
"E48W9M"	NA	NA	"F"	0	1990-06-08	1991-10-28	1.4	"JAPANESE"	""	"SHIPPED"	"original"
"NWIXPA"	NA	NA	"F"	0	1990-06-07	1991-11-06	1.4	"JAPANESE"	""	"SHIPPED"	"original"
"Z4EY74"	NA	NA	"M"	0	1990-06-06	1993-10-01	3.3	"JAPANESE"	""	"SHIPPED"	"original"
"YSRHBD"	NA	NA	"M"	0	1990-06-28	1993-09-18	3.2	"JAPANESE"	""	"SHIPPED"	"original"
"Z84KGV"	NA	NA	"F"	0	1990-05-09	1991-10-22	1.5	"JAPANESE"	""	"SHIPPED"	"original"
"DZ6FVF"	NA	NA	"F"	0	1990-05-25	1991-09-24	1.3	"JAPANESE"	""	"SHIPPED"	"original"
"BTD2NZ"	NA	NA	"U"	0	1990-04-29	1990-10-02	0.4	"JAPANESE"	""	"DECEASED"	"original"
"JHQPAP"	NA	NA	"F"	0	1991-04-09	1991-04-09	0	"JAPANESE"	""	"DECEASED"	"original"
"BPI1HF"	NA	NA	"F"	0	1991-03-23	1991-04-05	0	"JAPANESE"	""	"DECEASED"	"original"
"6GWTJD"	NA	NA	"M"	0	1991-05-11	1991-06-01	0.1	"JAPANESE"	""	"DECEASED"	"original"
"AYHHR5"	NA	NA	"F"	0	1991-05-12	1991-06-18	0.1	"JAPANESE"	""	"DECEASED"	"original"
"BR14AQ"	NA	NA	"F"	0	1991-06-17	1991-06-17	0	"JAPANESE"	""	"DECEASED"	"original"
"JDVB5M"	NA	NA	"F"	0	1991-05-30	1991-05-30	-0.1	"JAPANESE"	""	"DECEASED"	"original"
"70T5GR"	NA	NA	"F"	0	1991-06-28	1991-06-28	-0.1	"JAPANESE"	""	"DECEASED"	"original"
"4RXU2E"	NA	NA	"F"	0	1991-05-25	1992-11-09	1.5	"JAPANESE"	""	"DECEASED"	"original"
"9YTU7S"	NA	NA	"M"	0	1991-04-27	1998-04-15	7	"JAPANESE"	""	"SHIPPED"	"original"
"CJA95L"	NA	NA	"M"	0	1991-06-18	1998-05-01	6.9	"JAPANESE"	""	"SHIPPED"	"original"
"SUFWJI"	NA	NA	"F"	0	1991-05-22	1999-02-21	7.8	"JAPANESE"	""	"DECEASED"	"original"
"9747LE"	NA	NA	"F"	0	1991-06-23	1999-11-17	8.4	"JAPANESE"	""	"DECEASED"	"original"
"MCETJ8"	NA	NA	"M"	0	1991-06-01	1992-08-08	1.2	"JAPANESE"	""	"SHIPPED"	"original"
"9Q766V"	NA	NA	"M"	0	1991-05-07	1995-06-08	4.1	"JAPANESE"	""	"DECEASED"	"original"
